id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
910GABWDXR,Abbey Wood,elizabeth-line,51.491241,0.121374,,False,,
910GACTONML,Acton Main Line Rail Station,elizabeth-line,51.51718,-0.266756,,False,,
910GBNHAM,Burnham (Berks) Rail Station,elizabeth-line,51.523506,-0.646374,,False,,
910GBONDST,Bond Street,elizabeth-line,51.513282,-0.149317,,False,,
910GBRTWOOD,Brentwood Rail Station,elizabeth-line,51.613605,0.299586,,False,,
910GCANWHRF,Canary Wharf,elizabeth-line,51.506321,-0.018815,,False,,
910GCHDWLHT,Chadwell Heath Rail Station,elizabeth-line,51.568039,0.128958,,False,,
910GCSTMHSXR,Custom House,elizabeth-line,51.509436,0.027681,,False,,
910GEALINGB,Ealing Broadway Rail Station,elizabeth-line,51.514841,-0.301752,,False,,
910GFRNDXR,Farringdon,elizabeth-line,51.519635,-0.102892,,False,,
910GFRSTGT,Forest Gate Rail Station,elizabeth-line,51.549432,0.024353,,False,,
910GGIDEAPK,Gidea Park Rail Station,elizabeth-line,51.581904,0.205964,,False,,
910GGODMAYS,Goodmayes Rail Station,elizabeth-line,51.565579,0.110807,,False,,
910GHANWELL,Hanwell Rail Station,elizabeth-line,51.511835,-0.338583,,False,,
910GHAYESAH,Hayes & Harlington Rail Station,elizabeth-line,51.503096,-0.420683,,False,,
910GHRLDWOD,Harold Wood Rail Station,elizabeth-line,51.592766,0.233129,,False,,
910GHTRWAPT,Heathrow Terminals 2 & 3 Rail Station,elizabeth-line,51.471987,-0.454788,,False,,
910GHTRWTM4,Heathrow Terminal 4 Rail Station,elizabeth-line,51.458268,-0.445463,,False,,
910GHTRWTM5,Heathrow Terminal 5 Rail Station,elizabeth-line,51.470053,-0.490589,,False,,
910GILFORD,Ilford Rail Station,elizabeth-line,51.559118,0.06968,,False,,
910GIVER,Iver Rail Station,elizabeth-line,51.508503,-0.506726,,False,,
910GLANGLEY,Langley (Berks) Rail Station,elizabeth-line,51.508062,-0.541756,,False,,
910GLIVST,London Liverpool Street Rail Station,elizabeth-line,51.517991,-0.081426,,False,,
910GLIVSTLL,Liverpool Street,elizabeth-line,51.51776,-0.086524,,False,,
910GMANRPK,Manor Park Rail Station,elizabeth-line,51.552477,0.046342,,False,,
910GMDNHEAD,Maidenhead Rail Station,elizabeth-line,51.518669,-0.72266,,False,,
910GMRYLAND,Maryland Rail Station,elizabeth-line,51.546081,0.005815,,False,,
910GPADTLL,Paddington,elizabeth-line,51.516449,-0.177107,,False,,
910GPADTON,London Paddington Rail Station,elizabeth-line,51.515996,-0.176174,,False,,
910GRDNGSTN,Reading Rail Station,elizabeth-line,51.458786,-0.971863,,False,,
910GROMFORD,Romford Rail Station,elizabeth-line,51.574829,0.183237,,False,,
910GSHENFLD,Shenfield Rail Station,elizabeth-line,51.630877,0.329851,,False,,
910GSLOUGH,Slough Rail Station,elizabeth-line,51.51188,-0.59151,,False,,
910GSTFD,Stratford (London) Rail Station,elizabeth-line,51.541895,-0.003397,,False,,
910GSTHALL,Southall Rail Station,elizabeth-line,51.505957,-0.37861,,False,,
